mode,code,name,exchange,day_trade,category,reference,limit_up,limit_down,open,high,low,close,buy_price,sell_price,volume,total_amount,ts,exclude_reasons
pre_breakout,1101,台泥,TSE,DayTrade.Yes,01,22.85,25.1,20.6,22.85,22.9,22.4,22.7,22.65,22.7,26423,596327650.0,2026-07-14T16:46:47,not_enough_history
pre_breakout_watch,1101,台泥,TSE,DayTrade.Yes,01,22.85,25.1,20.6,22.85,22.9,22.4,22.7,22.65,22.7,26423,596327650.0,2026-07-14T16:46:47,not_enough_history
stable,1101,台泥,TSE,DayTrade.Yes,01,22.85,25.1,20.6,22.85,22.9,22.4,22.7,22.65,22.7,26423,596327650.0,2026-07-14T16:46:47,not_enough_history
daytrade,1101,台泥,TSE,DayTrade.Yes,01,22.85,25.1,20.6,22.85,22.9,22.4,22.7,22.65,22.7,26423,596327650.0,2026-07-14T16:46:47,net_profit_below_min
overnight,1101,台泥,TSE,DayTrade.Yes,01,22.85,25.1,20.6,22.85,22.9,22.4,22.7,22.65,22.7,26423,596327650.0,2026-07-14T16:46:47,net_profit_below_min
weekly,1101,台泥,TSE,DayTrade.Yes,01,22.85,25.1,20.6,22.85,22.9,22.4,22.7,22.65,22.7,26423,596327650.0,2026-07-14T16:46:47,net_profit_below_min
pre_breakout,1102,亞泥,TSE,DayTrade.OnlyBuy,01,34.9,38.35,31.45,35.0,35.0,34.2,34.2,34.2,34.25,23775,817409600.0,2026-07-14T16:46:47,corporate_action_window:twse:息:2026-07-16
pre_breakout_watch,1102,亞泥,TSE,DayTrade.OnlyBuy,01,34.9,38.35,31.45,35.0,35.0,34.2,34.2,34.2,34.25,23775,817409600.0,2026-07-14T16:46:47,corporate_action_window:twse:息:2026-07-16
stable,1102,亞泥,TSE,DayTrade.OnlyBuy,01,34.9,38.35,31.45,35.0,35.0,34.2,34.2,34.2,34.25,23775,817409600.0,2026-07-14T16:46:47,not_enough_history
daytrade,1102,亞泥,TSE,DayTrade.OnlyBuy,01,34.9,38.35,31.45,35.0,35.0,34.2,34.2,34.2,34.25,23775,817409600.0,2026-07-14T16:46:47,not_day_trade
overnight,1102,亞泥,TSE,DayTrade.OnlyBuy,01,34.9,38.35,31.45,35.0,35.0,34.2,34.2,34.2,34.25,23775,817409600.0,2026-07-14T16:46:47,corporate_action_window:twse:息:2026-07-16
weekly,1102,亞泥,TSE,DayTrade.OnlyBuy,01,34.9,38.35,31.45,35.0,35.0,34.2,34.2,34.2,34.25,23775,817409600.0,2026-07-14T16:46:47,corporate_action_window:twse:息:2026-07-16
pre_breakout,1103,嘉泥,TSE,DayTrade.Yes,01,13.55,14.9,12.2,13.55,13.55,13.35,13.4,13.35,13.4,512,6853800.0,2026-07-14T16:46:47,"volume_too_low,net_profit_below_min"
pre_breakout_watch,1103,嘉泥,TSE,DayTrade.Yes,01,13.55,14.9,12.2,13.55,13.55,13.35,13.4,13.35,13.4,512,6853800.0,2026-07-14T16:46:47,"volume_too_low,net_profit_below_min"
stable,1103,嘉泥,TSE,DayTrade.Yes,01,13.55,14.9,12.2,13.55,13.55,13.35,13.4,13.35,13.4,512,6853800.0,2026-07-14T16:46:47,"volume_too_low,net_profit_below_min"
daytrade,1103,嘉泥,TSE,DayTrade.Yes,01,13.55,14.9,12.2,13.55,13.55,13.35,13.4,13.35,13.4,512,6853800.0,2026-07-14T16:46:47,"volume_too_low,net_profit_below_min,rr_below_min"
overnight,1103,嘉泥,TSE,DayTrade.Yes,01,13.55,14.9,12.2,13.55,13.55,13.35,13.4,13.35,13.4,512,6853800.0,2026-07-14T16:46:47,"volume_too_low,net_profit_below_min"
weekly,1103,嘉泥,TSE,DayTrade.Yes,01,13.55,14.9,12.2,13.55,13.55,13.35,13.4,13.35,13.4,512,6853800.0,2026-07-14T16:46:47,"volume_too_low,net_profit_below_min"
pre_breakout,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.2,27.2,26.45,26.75,26.75,26.8,1075,28681750.0,2026-07-14T16:46:47,not_enough_history
pre_breakout_watch,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.2,27.2,26.45,26.75,26.75,26.8,1075,28681750.0,2026-07-14T16:46:47,not_enough_history
stable,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.2,27.2,26.45,26.75,26.75,26.8,1075,28681750.0,2026-07-14T16:46:47,not_enough_history
daytrade,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.2,27.2,26.45,26.75,26.75,26.8,1075,28681750.0,2026-07-14T16:46:47,net_profit_below_min
overnight,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.2,27.2,26.45,26.75,26.75,26.8,1075,28681750.0,2026-07-14T16:46:47,net_profit_below_min
weekly,1104,環泥,TSE,DayTrade.Yes,01,27.1,29.8,24.4,27.2,27.2,26.45,26.75,26.75,26.8,1075,28681750.0,2026-07-14T16:46:47,net_profit_below_min
