mode,code,name,exchange,day_trade,category,reference,limit_up,limit_down,open,high,low,close,buy_price,sell_price,volume,total_amount,ts,exclude_reasons
daytrade,1101,台泥,TSE,DayTrade.Yes,01,23.65,26.0,21.3,23.8,23.9,23.65,23.7,23.65,23.7,15731,373668350.0,2026-07-06T17:48:30,net_profit_below_min
overnight,1101,台泥,TSE,DayTrade.Yes,01,23.65,26.0,21.3,23.8,23.9,23.65,23.7,23.65,23.7,15731,373668350.0,2026-07-06T17:48:30,net_profit_below_min
weekly,1101,台泥,TSE,DayTrade.Yes,01,23.65,26.0,21.3,23.8,23.9,23.65,23.7,23.65,23.7,15731,373668350.0,2026-07-06T17:48:30,net_profit_below_min
daytrade,1102,亞泥,TSE,DayTrade.Yes,01,36.45,40.05,32.85,36.5,36.9,36.4,36.55,36.55,36.6,11461,421170100.0,2026-07-06T17:48:30,net_profit_below_min
overnight,1102,亞泥,TSE,DayTrade.Yes,01,36.45,40.05,32.85,36.5,36.9,36.4,36.55,36.55,36.6,11461,421170100.0,2026-07-06T17:48:30,score_below_b
weekly,1102,亞泥,TSE,DayTrade.Yes,01,36.45,40.05,32.85,36.5,36.9,36.4,36.55,36.55,36.6,11461,421170100.0,2026-07-06T17:48:30,score_below_b
daytrade,1103,嘉泥,TSE,DayTrade.Yes,01,13.65,15.0,12.3,13.7,13.8,13.65,13.75,13.7,13.75,348,4785150.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min,rr_below_min"
overnight,1103,嘉泥,TSE,DayTrade.Yes,01,13.65,15.0,12.3,13.7,13.8,13.65,13.75,13.7,13.75,348,4785150.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
weekly,1103,嘉泥,TSE,DayTrade.Yes,01,13.65,15.0,12.3,13.7,13.8,13.65,13.75,13.7,13.75,348,4785150.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
daytrade,1104,環泥,TSE,DayTrade.Yes,01,27.4,30.1,24.7,27.35,27.75,27.35,27.55,27.55,27.6,775,21345500.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
overnight,1104,環泥,TSE,DayTrade.Yes,01,27.4,30.1,24.7,27.35,27.75,27.35,27.55,27.55,27.6,775,21345500.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
weekly,1104,環泥,TSE,DayTrade.Yes,01,27.4,30.1,24.7,27.35,27.75,27.35,27.55,27.55,27.6,775,21345500.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
daytrade,1108,幸福,TSE,DayTrade.Yes,01,13.9,15.25,12.55,13.95,14.15,13.95,14.1,14.05,14.1,495,6946250.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
overnight,1108,幸福,TSE,DayTrade.Yes,01,13.9,15.25,12.55,13.95,14.15,13.95,14.1,14.05,14.1,495,6946250.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
weekly,1108,幸福,TSE,DayTrade.Yes,01,13.9,15.25,12.55,13.95,14.15,13.95,14.1,14.05,14.1,495,6946250.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
daytrade,1109,信大,TSE,DayTrade.Yes,01,14.7,16.15,13.25,14.75,14.8,14.7,14.8,14.75,14.8,80,1180450.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
overnight,1109,信大,TSE,DayTrade.Yes,01,14.7,16.15,13.25,14.75,14.8,14.7,14.8,14.75,14.8,80,1180450.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
weekly,1109,信大,TSE,DayTrade.Yes,01,14.7,16.15,13.25,14.75,14.8,14.7,14.8,14.75,14.8,80,1180450.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
daytrade,1110,東泥,TSE,DayTrade.OnlyBuy,01,15.95,17.5,14.4,16.0,16.3,15.9,15.9,15.85,16.05,452,7278900.0,2026-07-06T17:48:30,not_day_trade
overnight,1110,東泥,TSE,DayTrade.OnlyBuy,01,15.95,17.5,14.4,16.0,16.3,15.9,15.9,15.85,16.05,452,7278900.0,2026-07-06T17:48:30,"volume_too_low,spread_too_wide,net_profit_below_min"
weekly,1110,東泥,TSE,DayTrade.OnlyBuy,01,15.95,17.5,14.4,16.0,16.3,15.9,15.9,15.85,16.05,452,7278900.0,2026-07-06T17:48:30,"volume_too_low,spread_too_wide,net_profit_below_min"
daytrade,1201,味全,TSE,DayTrade.Yes,02,12.65,13.9,11.4,12.8,12.8,12.6,12.7,12.7,12.75,876,11122950.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min,rr_below_min"
overnight,1201,味全,TSE,DayTrade.Yes,02,12.65,13.9,11.4,12.8,12.8,12.6,12.7,12.7,12.75,876,11122950.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
weekly,1201,味全,TSE,DayTrade.Yes,02,12.65,13.9,11.4,12.8,12.8,12.6,12.7,12.7,12.75,876,11122950.0,2026-07-06T17:48:30,"volume_too_low,net_profit_below_min"
daytrade,1203,味王,TSE,DayTrade.Yes,02,43.35,47.65,39.05,42.45,42.95,42.4,42.9,42.55,43.3,22,937000.0,2026-07-06T17:48:30,"volume_too_low,spread_too_wide"
overnight,1203,味王,TSE,DayTrade.Yes,02,43.35,47.65,39.05,42.45,42.95,42.4,42.9,42.55,43.3,22,937000.0,2026-07-06T17:48:30,"volume_too_low,spread_too_wide"
weekly,1203,味王,TSE,DayTrade.Yes,02,43.35,47.65,39.05,42.45,42.95,42.4,42.9,42.55,43.3,22,937000.0,2026-07-06T17:48:30,"volume_too_low,spread_too_wide"
daytrade,1210,大成,TSE,DayTrade.Yes,02,58.0,63.8,52.2,58.1,59.5,58.1,58.8,58.8,58.9,3862,228208900.0,2026-07-06T17:48:30,score_below_b
